               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.026005,            0.019702,                   0,             0.80449,             0.80407,             0.84925,             0.64464,            0.022471,            0.010615,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.025175,            0.020101,                   0,             0.78174,             0.83333,             0.86131,             0.65897,            0.022438,             0.01035,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.026125,            0.020194,                   0,             0.79723,             0.81326,              0.8509,             0.64833,            0.022013,            0.010402,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.025711,            0.019603,                   0,             0.78462,             0.82937,             0.85445,             0.64773,            0.022671,            0.010347,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.025585,            0.019883,                   0,             0.78954,             0.83553,             0.85093,             0.63951,            0.022464,            0.010255,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.026097,            0.019566,                   0,             0.81102,             0.80894,             0.85521,             0.64737,            0.022727,            0.010309,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.025279,            0.020286,                   0,             0.81421,             0.78477,             0.85606,             0.65774,            0.022683,            0.010675,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.024831,            0.019779,                   0,             0.82159,             0.79563,             0.86121,             0.66337,             0.02171,            0.010907,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.024832,            0.019093,                   0,             0.79466,              0.8244,             0.86091,             0.66335,            0.022289,            0.010253,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.024895,            0.019758,                   0,             0.79844,             0.80407,             0.85554,              0.6545,            0.022341,            0.010343,                   0,            0.007822,            0.007822,            0.007822
                  68,             0.02467,            0.019468,                   0,             0.79388,             0.83532,             0.86257,             0.65778,            0.021948,            0.010387,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.025113,            0.018941,                   0,             0.79865,             0.78671,              0.8466,             0.65145,            0.021902,            0.010804,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.024622,            0.019469,                   0,             0.79657,             0.77728,             0.84958,             0.65074,            0.021979,            0.010607,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.024189,             0.01945,                   0,             0.80583,             0.80696,             0.86541,             0.66675,            0.021885,            0.010505,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.024415,            0.018953,                   0,             0.79238,             0.80655,             0.84769,             0.63978,             0.02193,            0.010683,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.024106,            0.018553,                   0,             0.80175,              0.7984,              0.8488,             0.64446,             0.02128,             0.01066,                   0,            0.007624,            0.007624,            0.007624
                  74,             0.02359,            0.019195,                   0,             0.77866,             0.82788,             0.84938,             0.65209,            0.021366,            0.010275,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.024041,            0.019218,                   0,             0.80094,             0.80632,             0.84691,             0.65511,            0.021525,            0.010476,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.023905,            0.018964,                   0,             0.78824,               0.813,             0.85506,             0.65388,            0.021886,            0.010645,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.023685,            0.019376,                   0,             0.80903,             0.80853,             0.86358,             0.66557,            0.021718,            0.010368,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.023969,            0.018558,                   0,             0.79627,             0.81428,             0.84824,             0.64783,            0.022427,            0.010407,                   0,            0.007459,            0.007459,            0.007459
                  79,             0.02388,            0.019194,                   0,             0.81579,             0.79961,             0.85708,             0.65722,            0.022101,             0.01049,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.023485,            0.018931,                   0,             0.79695,             0.79812,             0.85524,             0.66092,            0.021864,            0.010621,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.024066,            0.018657,                   0,             0.80225,             0.82044,             0.85497,             0.65685,            0.021879,            0.010276,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.023888,            0.018926,                   0,             0.80927,             0.80159,             0.85381,             0.65803,            0.021973,            0.010455,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.023224,             0.01846,                   0,             0.81924,             0.79018,             0.84846,             0.65603,            0.021434,            0.010556,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.022801,            0.018121,                   0,             0.79687,               0.812,             0.85513,             0.65636,            0.021309,            0.010508,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.023415,            0.018238,                   0,              0.7814,             0.82242,             0.86233,             0.66111,            0.021573,            0.010437,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.023907,            0.018479,                   0,             0.82459,             0.80407,             0.86171,             0.66826,            0.021773,            0.010276,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.023195,            0.018482,                   0,              0.8343,             0.78425,             0.85715,             0.66497,             0.02189,            0.010685,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.023275,            0.018397,                   0,             0.79799,             0.80924,             0.85553,             0.66267,            0.021441,             0.01049,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.023105,            0.018184,                   0,             0.82084,             0.78178,              0.8613,             0.66667,            0.021102,            0.010522,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.023128,            0.018469,                   0,             0.79764,             0.80208,             0.85665,             0.66932,            0.021353,            0.010854,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.023173,            0.018462,                   0,             0.79594,             0.81002,             0.85893,             0.66479,            0.021332,            0.010538,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.022539,            0.018419,                   0,             0.80469,             0.79563,             0.85762,             0.66897,             0.02143,            0.010561,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.022213,            0.018066,                   0,             0.80832,             0.79861,             0.85696,             0.66916,            0.021693,            0.011131,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.022695,            0.017953,                   0,             0.80847,             0.81746,             0.86224,             0.67033,            0.021136,            0.010666,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.022686,            0.018127,                   0,             0.80872,             0.82341,             0.87087,             0.67748,            0.021036,            0.010384,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.023084,            0.017807,                   0,             0.78724,             0.82738,             0.85766,             0.66431,             0.02122,            0.010389,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.022529,             0.01811,                   0,             0.79352,             0.81349,             0.86244,             0.67441,             0.02074,            0.010868,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.022273,            0.017997,                   0,             0.83017,             0.78472,             0.85795,             0.66775,            0.020863,             0.01055,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.022099,             0.01783,                   0,              0.8061,             0.81043,             0.85629,             0.66567,            0.021168,            0.010499,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.022695,            0.017411,                   0,             0.80258,             0.78125,             0.85056,             0.66559,            0.021577,            0.011102,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.022153,            0.017992,                   0,             0.79761,             0.81908,             0.86172,              0.6643,             0.02077,            0.010511,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.021751,            0.018281,                   0,             0.80117,             0.81346,             0.85423,             0.66403,            0.020812,            0.010686,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.021248,            0.017483,                   0,             0.79164,             0.82169,             0.85358,             0.66674,            0.020853,            0.010559,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.021564,            0.017631,                   0,             0.80714,             0.80757,              0.8593,             0.67064,            0.020333,            0.010674,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.022243,            0.017659,                   0,             0.81434,             0.81597,             0.86787,             0.67211,            0.020666,            0.010539,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.021614,            0.017481,                   0,             0.79987,             0.81151,             0.85556,             0.66877,            0.020531,            0.010555,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.021857,            0.017735,                   0,              0.7811,              0.8142,             0.84276,             0.65689,            0.020392,            0.010888,                   0,            0.006502,            0.006502,            0.006502
                 108,             0.02093,            0.017726,                   0,             0.80824,             0.81548,             0.86055,             0.67737,            0.020617,            0.010726,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.021469,            0.017651,                   0,             0.80562,             0.80796,             0.85894,             0.66711,            0.020682,             0.01051,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.021248,             0.01732,                   0,             0.82062,              0.7965,             0.86487,             0.67614,            0.020584,            0.010565,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.021658,            0.017756,                   0,             0.79211,             0.83333,             0.86467,             0.67541,            0.020514,            0.010612,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.021402,            0.017454,                   0,             0.82049,             0.80407,             0.85651,             0.66735,            0.020301,            0.010538,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.020737,            0.016996,                   0,             0.80527,             0.80754,             0.85176,             0.65991,            0.021019,            0.010786,                   0,            0.006304,            0.006304,            0.006304
                 114,             0.02166,             0.01731,                   0,             0.79412,              0.8189,             0.86392,              0.6774,            0.020776,            0.010914,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.022225,            0.017745,                   0,              0.8193,             0.77814,             0.85564,             0.66728,            0.020672,             0.01051,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.021733,            0.016895,                   0,             0.81088,             0.79762,             0.85713,             0.66684,            0.021282,            0.010911,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.021108,             0.01719,                   0,              0.8178,              0.8125,               0.867,             0.67672,            0.020819,            0.010627,                   0,            0.006172,            0.006172,            0.006172
                 118,             0.02068,            0.017036,                   0,             0.79995,             0.81325,             0.85028,             0.66723,            0.020669,            0.011087,                   0,            0.006139,            0.006139,            0.006139
                 119,             0.02058,            0.016557,                   0,             0.80039,              0.8314,             0.86641,             0.68395,            0.020511,            0.010518,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.021242,            0.016911,                   0,             0.80911,             0.80313,             0.85838,             0.67237,            0.021116,               0.011,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.020535,            0.016698,                   0,             0.80425,             0.81746,             0.86216,             0.67739,            0.020602,            0.010302,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.020298,            0.016754,                   0,             0.79749,             0.83409,             0.86401,             0.68102,            0.020267,            0.010786,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.021226,            0.016928,                   0,             0.82677,             0.78323,             0.85624,             0.67184,            0.020637,            0.010849,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.020843,            0.017019,                   0,             0.78618,             0.81895,              0.8607,             0.67479,            0.020253,            0.010817,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.020621,            0.016888,                   0,             0.79758,              0.8006,             0.84494,              0.6647,            0.020519,            0.010973,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.021083,            0.016593,                   0,             0.80176,             0.82391,             0.85294,             0.66275,            0.020736,            0.010912,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.020068,            0.016476,                   0,             0.80441,             0.81002,             0.85839,             0.66983,            0.020565,            0.010816,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.020198,            0.016869,                   0,             0.81336,             0.82391,             0.85831,             0.67755,            0.020205,            0.010577,                   0,            0.005809,            0.005809,            0.005809
